item,itemLabel,date,deaths,country,countryLabel,latitude,longitude,coord
http://www.wikidata.org/entity/Q16894153,LIAT Flight 319,1986-08-03T00:00:00Z,13,,,13.137335,-61.218879,Point(-61.218879 13.137335)
http://www.wikidata.org/entity/Q16912881,1974 EgyptAir Tupolev Tu-154 crash,1974-07-10T00:00:00Z,,,,30.102,31.404,Point(31.404 30.102)
http://www.wikidata.org/entity/Q16985739,Transocean Air Lines Flight 512,1953-07-12T00:00:00Z,58,,,19.86666667,172.6,Point(172.6 19.86666667)
http://www.wikidata.org/entity/Q16986023,USAAF Boeing B-17 crash on North Barrule,1945-04-23T00:00:00Z,31,,,54.28861111,-4.39416667,Point(-4.39416667 54.28861111)
http://www.wikidata.org/entity/Q17058804,1986 Sudan Airways Fokker F-27 shootdown,1986-08-16T00:00:00Z,60,,,9.57498333,31.68960833,Point(31.68960833 9.57498333)
http://www.wikidata.org/entity/Q17143589,Si Fly Flight 3275,1999-11-12T00:00:00Z,24,,,42.966666666667,21.05,Point(21.05 42.966666666)
http://www.wikidata.org/entity/Q17282241,2014 Olsberg mid-air collision,2014-06-23T00:00:00Z,2,,,51.27861111,8.4475,Point(8.4475 51.27861111)
http://www.wikidata.org/entity/Q17323459,Lufthansa Flight 527,1979-07-26T00:00:00Z,3,,,-22.58277778,-43.21583333,Point(-43.21583333 -22.58277778)
http://www.wikidata.org/entity/Q17502291,Japan Airlines Flight 422,1975-12-16T00:00:00Z,,,,61.16972222,-149.98888889,Point(-149.98888889 61.16972222)
http://www.wikidata.org/entity/Q17996745,Aeroflot Flight 4,1958-08-15T00:00:00Z,64,,,49.8,132.95,Point(132.95 49.8)
http://www.wikidata.org/entity/Q18235521,Aeroflot Flight 11,1957-01-01T00:00:00Z,,,,48.880277777778,132.50444444444,Point(132.504444444 48.880277777)
http://www.wikidata.org/entity/Q18235521,Aeroflot Flight 11,1957-01-01T00:00:00Z,,,,48.880277777778,132.50444444444,Point(132.504444444 48.880277777)
http://www.wikidata.org/entity/Q18286128,Q18286128,1964-07-15T00:00:00Z,3,,,49.35163,10.65373,Point(10.65373 49.35163)
http://www.wikidata.org/entity/Q18398545,Accidente de un Sud Aviation Caravelle de Royal Air Maroc en 1973,1973-12-22T00:00:00Z,106,,,35.67,-5.43,Point(-5.43 35.67)
http://www.wikidata.org/entity/Q18398580,1958 Lazo Il-12 crash,1957-09-19T00:00:00Z,,,,47.566666666667,136.425,Point(136.425 47.566666666)
http://www.wikidata.org/entity/Q18398581,Aeroflot Flight 10 (1957),1957-12-18T00:00:00Z,,,,48.880277777778,132.50444444444,Point(132.504444444 48.880277777)
http://www.wikidata.org/entity/Q18398581,Aeroflot Flight 10 (1957),1957-12-18T00:00:00Z,,,,48.880277777778,132.50444444444,Point(132.504444444 48.880277777)
http://www.wikidata.org/entity/Q18398589,Aeroflot Flight 663,1963-08-24T00:00:00Z,32,,,42.46666667,42.4,Point(42.4 42.46666667)
http://www.wikidata.org/entity/Q18398630,Malév Flight 203,1977-09-21T00:00:00Z,,,,44.696666666667,26.537222222222,Point(26.537222222 44.696666666)
http://www.wikidata.org/entity/Q18401915,1977 Tavda mid-air collision,1977-05-07T00:00:00Z,,,,57.911111111111,65.255555555556,Point(65.255555555 57.911111111)
http://www.wikidata.org/entity/Q18430707,Q18430707,2014-07-05T00:00:00Z,,,,50.906022222222,19.159238888889,Point(19.159238888 50.906022222)
http://www.wikidata.org/entity/Q18543266,Pan Am Flight 799,1968-12-26T00:00:00Z,3,,,61.266666666667,-149.83333333333,Point(-149.833333333 61.266666666)
